Conference,Champion,TeamName,TeamID
AAC,Cincinnati,cincinnati,1153
ACC,Virginia,virginia,1438
America East,UMBC,umbc,1420
Atlantic 10,Davidson,davidson,1172
Atlantic Sun,Lipscomb,lipscomb,1252
Big East,Villanova,villanova,1437
Big Sky,Montana,montana,1285
Big South,Radford,radford,1347
Big Ten,Michigan,michigan,1276
Big 12,Kansas,kansas,1242
Big West,Cal State Fullerton,cal state fullerton,1168
Colonial,Charleston,charleston,1158
Conference USA,Marshall,marshall,1267
Horizon League,Wright State,wright state,1460
Ivy League,Pennsylvania,pennsylvania,1335
MAAC,Iona,iona,1233
MAC,Buffalo,buffalo,1138
MEAC,North Carolina Central,north carolina central,1300
Missouri Valley,Loyola Chicago,loyola chicago,1260
Mountain West,San Diego State,san diego state,1361
Northeast,LIU Brooklyn,liu brooklyn,1254
Ohio Valley,Murray State,murray state,1293
Pac-12,Arizona,arizona,1112
Patriot,Bucknell,bucknell,1137
SEC,Kentucky,kentucky,1246
Southern,UNC Greensboro,unc greensboro,1422
Southland,Stephen F. Austin,stephen f. austin,1372
Summit,South Dakota State,south dakota state,1355
Sun Belt,Georgia State,georgia state,1209
SWAC,Texas Southern,texas southern,1411
WAC,New Mexico State,new mexico state,1308
West Coast,Gonzaga,gonzaga,1211
